,buyprice,buytime,date,pnl,quantity,sellprice,selltime,sl,type
443,518.3,11:48:00,2022-01-20,-429.99999999999545,100.0,514.0,13:21:00,514.0,buy
444,512.15,15:15:00,2022-01-20,185.00000000000227,100.0,514.0,13:22:00,518.3,sell
445,501.35,15:15:00,2022-01-21,109.99999999999659,100.0,502.45,09:30:00,507.45,sell
446,495.8,15:15:00,2022-01-24,534.9999999999966,100.0,501.15,09:31:00,506.8,sell
447,497.9,09:40:00,2022-01-25,1645.0000000000045,100.0,514.35,15:15:00,489.0,buy
448,513.7,10:30:00,2022-01-27,1564.9999999999977,100.0,529.35,15:15:00,503.2,buy
449,523.65,15:15:00,2022-01-28,585.0000000000023,100.0,529.5,10:01:00,536.25,sell
450,533.35,09:31:00,2022-01-31,560.0000000000023,100.0,538.95,15:15:00,528.3,buy
451,542.45,09:51:00,2022-02-01,-435.0000000000023,100.0,538.1,10:45:00,538.1,buy
452,531.65,15:15:00,2022-02-01,645.0000000000045,100.0,538.1,10:46:00,542.45,sell
453,539.3,14:34:00,2022-02-02,-414.9999999999977,100.0,535.15,09:34:00,539.3,sell
454,539.3,14:35:00,2022-02-02,55.00000000000682,100.0,539.85,15:15:00,535.15,buy
455,543.75,09:41:00,2022-02-03,-375.0,100.0,540.0,15:15:00,537.15,buy
456,545.95,09:34:00,2022-02-04,-695.0000000000045,100.0,539.0,10:37:00,539.0,buy
457,530.75,15:15:00,2022-02-04,825.0,100.0,539.0,10:45:00,545.95,sell
458,537.0,09:30:00,2022-02-07,-404.99999999999545,100.0,532.95,15:15:00,525.85,buy
459,531.9,15:15:00,2022-02-08,-514.9999999999977,100.0,526.75,09:46:00,537.55,sell
460,535.5,15:12:00,2022-02-09,-400.0,100.0,531.5,09:38:00,535.5,sell
461,538.45,10:07:00,2022-02-10,179.99999999999545,100.0,540.25,15:15:00,534.5,buy
462,530.7,15:15:00,2022-02-11,134.9999999999909,100.0,532.05,09:51:00,537.5,sell
463,502.0,15:15:00,2022-02-14,535.0000000000023,100.0,507.35,09:30:00,515.0,sell
464,507.95,12:00:00,2022-02-15,-689.9999999999977,100.0,501.05,09:43:00,507.95,sell
465,507.95,12:01:00,2022-02-15,1694.9999999999989,100.0,524.9,15:15:00,501.05,buy
466,517.55,15:15:00,2022-02-16,400.0,100.0,521.55,09:49:00,528.0,sell
467,512.7,15:15:00,2022-02-17,234.9999999999909,100.0,515.05,09:30:00,519.9,sell
468,515.9,11:14:00,2022-02-18,-79.99999999999545,100.0,515.1,15:15:00,510.6,buy
469,513.95,11:15:00,2022-02-21,-545.0000000000045,100.0,508.5,09:30:00,513.95,sell
470,513.95,11:30:00,2022-02-21,-265.0000000000034,100.0,511.3,15:15:00,508.5,buy
471,498.85,15:15:00,2022-02-22,150.0,100.0,500.35,09:31:00,505.3,sell
472,498.9,15:15:00,2022-02-23,270.00000000000455,100.0,501.6,10:06:00,505.3,sell
473,472.6,15:15:00,2022-02-24,879.9999999999955,100.0,481.4,09:36:00,487.4,sell
474,485.5,09:42:00,2022-02-25,-255.00000000000114,100.0,482.95,15:15:00,479.6,buy
475,478.3,09:45:00,2022-02-28,-444.99999999999886,100.0,473.85,09:30:00,478.3,sell
476,478.3,09:46:00,2022-02-28,389.9999999999977,100.0,482.2,15:15:00,473.85,buy
477,474.65,15:15:00,2022-03-02,165.0000000000034,100.0,476.3,09:54:00,479.75,sell
478,469.5,15:15:00,2022-03-03,700.0,100.0,476.5,09:30:00,483.3,sell
479,463.8,09:46:00,2022-03-04,-144.99999999999886,100.0,462.35,15:15:00,458.05,buy
480,440.65,15:15:00,2022-03-07,685.0000000000023,100.0,447.5,09:40:00,453.85,sell
481,439.9,14:59:00,2022-03-08,-564.9999999999977,100.0,434.25,09:30:00,439.9,sell
482,443.2,09:33:00,2022-03-09,-409.9999999999966,100.0,439.1,11:14:00,439.1,buy
483,443.2,12:26:00,2022-03-09,-409.9999999999966,100.0,439.1,11:18:00,443.2,sell
484,443.2,12:27:00,2022-03-09,850.0,100.0,451.7,15:15:00,439.1,buy
485,472.6,09:57:00,2022-03-10,-580.0000000000011,100.0,466.8,13:48:00,466.8,buy
486,469.45,15:15:00,2022-03-10,-264.9999999999977,100.0,466.8,13:50:00,472.6,sell
487,469.75,09:30:00,2022-03-11,44.99999999999886,100.0,470.2,15:15:00,462.2,buy
488,475.7,10:15:00,2022-03-14,930.0000000000011,100.0,485.0,15:15:00,471.15,buy
489,486.25,15:15:00,2022-03-15,-244.99999999999886,100.0,483.8,09:39:00,490.3,sell
490,492.65,15:15:00,2022-03-16,-100.0,100.0,491.65,10:07:00,494.1,sell
491,501.45,10:35:00,2022-03-17,-275.0,100.0,498.7,09:33:00,501.45,sell
492,501.45,10:36:00,2022-03-17,-5.000000000001137,100.0,501.4,15:15:00,498.7,buy
493,491.05,15:15:00,2022-03-21,650.0,100.0,497.55,09:30:00,502.0,sell
494,491.05,13:12:00,2022-03-22,-355.00000000000114,100.0,487.5,09:30:00,491.05,sell
495,491.05,13:13:00,2022-03-22,255.00000000000114,100.0,493.6,15:15:00,487.5,buy
496,490.55,15:15:00,2022-03-23,709.9999999999966,100.0,497.65,09:43:00,502.4,sell
497,487.3,09:30:00,2022-03-24,-19.999999999998863,100.0,487.1,15:15:00,484.35,buy
